key,category,type,flags,default,source,lineno,django_setting,found_by,safe_to_delete,hints,has_db_value,has_disk_value,usages
statistical_detectors.query.functions.timeseries_days,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,14,src/sentry/options/defaults.py,2405,,both,NEVER_DELETE,,,,src/sentry/tasks/statistical_detectors.py
statistical_detectors.query.transactions.timeseries_days,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,14,src/sentry/options/defaults.py,2399,,both,NEVER_DELETE,,,,src/sentry/tasks/statistical_detectors.py
statistical_detectors.ratelimit.ema,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,-1,src/sentry/options/defaults.py,2411,,both,NEVER_DELETE,,,,src/sentry/statistical_detectors/detector.py; tests/sentry/tasks/test_statistical_detectors.py
statistical_detectors.throughput.threshold.functions,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,25,src/sentry/options/defaults.py,2425,,both,NEVER_DELETE,,,,src/sentry/tasks/statistical_detectors.py
statistical_detectors.throughput.threshold.transactions,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,50,src/sentry/options/defaults.py,2418,,both,NEVER_DELETE,,,,src/sentry/tasks/statistical_detectors.py
store.allow-s4s-ddm-sample-rate,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.0,src/sentry/options/defaults.py,945,,string,NEVER_DELETE,,,,src/sentry/utils/sdk.py
store.load-shed-group-creation-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1230,,string,NEVER_DELETE,,,,src/sentry/grouping/ingest/utils.py; src/sentry/killswitches.py; tests/sentry/test_killswitches.py
store.load-shed-parsed-pipeline-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1242,,string,NEVER_DELETE,,,,src/sentry/ingest/consumer/processors.py; src/sentry/killswitches.py
store.load-shed-pipeline-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1236,,string,NEVER_DELETE,,,,bin/disable-organization; src/sentry/ingest/consumer/processors.py; src/sentry/killswitches.py
store.load-shed-process-event-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1254,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/tasks/store.py; tests/sentry/tasks/test_store.py
store.load-shed-process-event-projects-gradual,static/active,Dict,FLAG_AUTOMATOR_MODIFIABLE,{},src/sentry/options/defaults.py,1260,,both,NEVER_DELETE,,,,src/sentry/tasks/store.py; tests/sentry/tasks/test_store.py
store.load-shed-save-event-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1248,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/tasks/store.py
store.load-shed-symbolicate-event-projects,static/active,Any,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1268,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/tasks/store.py; src/sentry/tasks/symbolication.py
store.reprocessing-force-disable,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,952,,both,NEVER_DELETE,,,,src/sentry/reprocessing2.py
store.s4s-transaction-sample-rate,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,1.0,src/sentry/options/defaults.py,948,,both,NEVER_DELETE,,,,src/sentry/utils/sdk.py; tests/sentry/utils/test_sdk.py
store.use-relay-dsn-sample-rate,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,1,src/sentry/options/defaults.py,942,,both,NEVER_DELETE,,,,src/sentry/utils/sdk.py
subscriptions-query.sample-rate,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.01,src/sentry/options/defaults.py,1359,,both,NEVER_DELETE,,,,src/sentry/snuba/query_subscriptions/run.py
